fecha_hora,altura
01/03/21 02:21:00, 0.65
01/03/21 08:05:00, 1.77
01/03/21 16:33:00, 0.38
01/03/21 21:02:00, 1.25
02/03/21 03:05:00, 0.58
02/03/21 08:53:00, 1.75
02/03/21 17:18:00, 0.40
02/03/21 21:43:00, 1.30
03/03/21 03:53:00, 0.52
03/03/21 09:43:00, 1.69
03/03/21 18:01:00, 0.44
03/03/21 22:27:00, 1.35
04/03/21 04:49:00, 0.48
04/03/21 10:39:00, 1.58
04/03/21 18:43:00, 0.51
04/03/21 23:15:00, 1.40
05/03/21 06:03:00, 0.46
05/03/21 11:44:00, 1.46
05/03/21 19:24:00, 0.59
06/03/21 00:07:00, 1.44
06/03/21 07:25:00, 0.46
06/03/21 13:01:00, 1.34
06/03/21 20:04:00, 0.67
07/03/21 01:07:00, 1.47
07/03/21 08:43:00, 0.45
07/03/21 14:19:00, 1.24
07/03/21 20:47:00, 0.74
08/03/21 02:15:00, 1.51
08/03/21 10:00:00, 0.43
08/03/21 15:27:00, 1.17
08/03/21 21:37:00, 0.80
09/03/21 03:23:00, 1.55
09/03/21 11:19:00, 0.41
09/03/21 16:30:00, 1.12
09/03/21 22:47:00, 0.83
10/03/21 04:27:00, 1.60
10/03/21 12:32:00, 0.39
10/03/21 17:31:00, 1.10
11/03/21 00:16:00, 0.82
11/03/21 05:25:00, 1.64
11/03/21 13:35:00, 0.38
11/03/21 18:33:00, 1.10
12/03/21 01:22:00, 0.78
12/03/21 06:17:00, 1.67
12/03/21 14:28:00, 0.39
12/03/21 19:30:00, 1.12
13/03/21 02:12:00, 0.73
13/03/21 07:05:00, 1.66
13/03/21 15:15:00, 0.41
13/03/21 20:13:00, 1.15
14/03/21 02:53:00, 0.69
14/03/21 07:50:00, 1.63
14/03/21 15:56:00, 0.45
14/03/21 20:46:00, 1.19
15/03/21 03:26:00, 0.66
15/03/21 08:33:00, 1.57
15/03/21 16:31:00, 0.50
15/03/21 21:17:00, 1.22
16/03/21 03:54:00, 0.63
16/03/21 09:16:00, 1.50
16/03/21 17:00:00, 0.54
16/03/21 21:48:00, 1.26
17/03/21 04:21:00, 0.61
17/03/21 10:00:00, 1.41
17/03/21 17:23:00, 0.58
17/03/21 22:17:00, 1.29
18/03/21 04:56:00, 0.60
18/03/21 10:47:00, 1.32
18/03/21 17:45:00, 0.62
18/03/21 22:47:00, 1.31
19/03/21 05:40:00, 0.59
19/03/21 11:42:00, 1.24
19/03/21 18:10:00, 0.64
19/03/21 23:16:00, 1.34
20/03/21 06:34:00, 0.59
20/03/21 12:45:00, 1.17
20/03/21 18:38:00, 0.67
20/03/21 23:49:00, 1.35
21/03/21 07:32:00, 0.58
21/03/21 13:44:00, 1.11
21/03/21 19:09:00, 0.71
22/03/21 00:30:00, 1.37
22/03/21 08:31:00, 0.57
22/03/21 14:38:00, 1.08
22/03/21 19:44:00, 0.74
23/03/21 01:24:00, 1.38
23/03/21 09:30:00, 0.55
23/03/21 15:28:00, 1.07
23/03/21 20:27:00, 0.78
24/03/21 02:31:00, 1.40
24/03/21 10:27:00, 0.53
24/03/21 16:15:00, 1.07
24/03/21 21:20:00, 0.80
25/03/21 03:36:00, 1.46
25/03/21 11:26:00, 0.50
25/03/21 17:01:00, 1.09
25/03/21 22:21:00, 0.81
26/03/21 04:33:00, 1.53
26/03/21 12:26:00, 0.47
26/03/21 17:45:00, 1.13
26/03/21 23:24:00, 0.78
27/03/21 05:23:00, 1.61
27/03/21 13:25:00, 0.44
27/03/21 18:27:00, 1.18
28/03/21 00:23:00, 0.72
