diferencia,acumulado
344.0,344.0
508.0,852.0
269.0,1121.0
363.0,1484.0
348.0,1832.0
505.0,2337.0
265.0,2602.0
370.0,2972.0
350.0,3322.0
498.0,3820.0
266.0,4086.0
382.0,4468.0
350.0,4818.0
484.0,5302.0
272.0,5574.0
408.0,5982.0
341.0,6323.0
460.0,6783.0
283.0,7066.0
438.0,7504.0
336.0,7840.0
423.0,8263.0
303.0,8566.0
456.0,9022.0
336.0,9358.0
388.0,9746.0
328.0,10074.0
465.0,10539.0
327.0,10866.0
370.0,11236.0
346.0,11582.0
476.0,12058.0
311.0,12369.0
377.0,12746.0
340.0,13086.0
485.0,13571.0
299.0,13870.0
405.0,14275.0
309.0,14584.0
490.0,15074.0
298.0,15372.0
409.0,15781.0
295.0,16076.0
491.0,16567.0
302.0,16869.0
402.0,17271.0
293.0,17564.0
490.0,18054.0
298.0,18352.0
400.0,18752.0
297.0,19049.0
486.0,19535.0
290.0,19825.0
400.0,20225.0
307.0,20532.0
478.0,21010.0
286.0,21296.0
397.0,21693.0
322.0,22015.0
464.0,22479.0
288.0,22767.0
393.0,23160.0
339.0,23499.0
443.0,23942.0
294.0,24236.0
399.0,24635.0
351.0,24986.0
418.0,25404.0
302.0,25706.0
413.0,26119.0
362.0,26481.0
388.0,26869.0
306.0,27175.0
438.0,27613.0
371.0,27984.0
353.0,28337.0
311.0,28648.0
463.0,29111.0
372.0,29483.0
325.0,29808.0
321.0,30129.0
481.0,30610.0
367.0,30977.0
306.0,31283.0
340.0,31623.0
486.0,32109.0
358.0,32467.0
299.0,32766.0
364.0,33130.0
476.0,33606.0
348.0,33954.0
305.0,34259.0
376.0,34635.0
470.0,35105.0
335.0,35440.0
320.0,35760.0
372.0,36132.0
473.0,36605.0
319.0,36924.0
339.0,37263.0
359.0,37622.0
482.0,38104.0
302.0,38406.0
356.0,38762.0
349.0,39111.0
490.0,39601.0
287.0,39888.0
368.0,40256.0
343.0,40599.0
493.0,41092.0
277.0,41369.0
379.0,41748.0
339.0,42087.0
493.0,42580.0
271.0,42851.0
389.0,43240.0
338.0,43578.0
487.0,44065.0
269.0,44334.0
-44235.0,99.0
44973.0,45072.0
476.0,45548.0
271.0,45819.0
429.0,46248.0
323.0,46571.0
457.0,47028.0
279.0,47307.0
455.0,47762.0
321.0,48083.0
426.0,48509.0
291.0,48800.0
474.0,49274.0
334.0,49608.0
382.0,49990.0
312.0,50302.0
482.0,50784.0
341.0,51125.0
352.0,51477.0
336.0,51813.0
482.0,52295.0
337.0,52632.0
346.0,52978.0
349.0,53327.0
479.0,53806.0
330.0,54136.0
368.0,54504.0
329.0,54833.0
480.0,55313.0
326.0,55639.0
391.0,56030.0
302.0,56332.0
480.0,56812.0
324.0,57136.0
396.0,57532.0
292.0,57824.0
478.0,58302.0
314.0,58616.0
404.0,59020.0
290.0,59310.0
475.0,59785.0
300.0,60085.0
414.0,60499.0
295.0,60794.0
467.0,61261.0
291.0,61552.0
421.0,61973.0
302.0,62275.0
454.0,62729.0
290.0,63019.0
423.0,63442.0
314.0,63756.0
435.0,64191.0
295.0,64486.0
426.0,64912.0
326.0,65238.0
411.0,65649.0
303.0,65952.0
436.0,66388.0
333.0,66721.0
389.0,67110.0
308.0,67418.0
454.0,67872.0
339.0,68211.0
362.0,68573.0
313.0,68886.0
476.0,69362.0
349.0,69711.0
326.0,70037.0
322.0,70359.0
496.0,70855.0
356.0,71211.0
293.0,71504.0
335.0,71839.0
510.0,72349.0
355.0,72704.0
273.0,72977.0
351.0,73328.0
514.0,73842.0
351.0,74193.0
269.0,74462.0
371.0,74833.0
501.0,75334.0
345.0,75679.0
288.0,75967.0
381.0,76348.0
479.0,76827.0
337.0,77164.0
319.0,77483.0
373.0,77856.0
467.0,78323.0
325.0,78648.0
346.0,78994.0
360.0,79354.0
467.0,79821.0
311.0,80132.0
368.0,80500.0
347.0,80847.0
472.0,81319.0
296.0,81615.0
386.0,82001.0
338.0,82339.0
475.0,82814.0
285.0,83099.0
402.0,83501.0
330.0,83831.0
472.0,84303.0
280.0,84583.0
421.0,85004.0
320.0,85324.0
464.0,85788.0
280.0,86068.0
444.0,86512.0
309.0,86821.0
449.0,87270.0
284.0,87554.0
467.0,88021.0
305.0,88326.0
425.0,88751.0
292.0,89043.0
484.0,89527.0
322.0,89849.0
382.0,90231.0
306.0,90537.0
495.0,91032.0
345.0,91377.0
339.0,91716.0
325.0,92041.0
494.0,92535.0
350.0,92885.0
326.0,93211.0
345.0,93556.0
482.0,94038.0
349.0,94387.0
335.0,94722.0
349.0,95071.0
469.0,95540.0
346.0,95886.0
364.0,96250.0
328.0,96578.0
463.0,97041.0
340.0,97381.0
393.0,97774.0
301.0,98075.0
462.0,98537.0
329.0,98866.0
410.0,99276.0
289.0,99565.0
459.0,100024.0
317.0,100341.0
422.0,100763.0
288.0,101051.0
452.0,101503.0
307.0,101810.0
432.0,102242.0
292.0,102534.0
439.0,102973.0
305.0,103278.0
439.0,103717.0
299.0,104016.0
419.0,104435.0
309.0,104744.0
446.0,105190.0
308.0,105498.0
395.0,105893.0
316.0,106209.0
456.0,106665.0
315.0,106980.0
373.0,107353.0
321.0,107674.0
471.0,108145.0
318.0,108463.0
352.0,108815.0
326.0,109141.0
487.0,109628.0
322.0,109950.0
326.0,110276.0
335.0,110611.0
504.0,111115.0
329.0,111444.0
295.0,111739.0
347.0,112086.0
517.0,112603.0
333.0,112936.0
272.0,113208.0
359.0,113567.0
524.0,114091.0
334.0,114425.0
261.0,114686.0
371.0,115057.0
521.0,115578.0
333.0,115911.0
265.0,116176.0
383.0,116559.0
506.0,117065.0
333.0,117398.0
290.0,117688.0
